step,newly_poisoned_client,total_poisoned_clients,fraction_poisoned,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,5,1,0.1,0.92,0.92,0.92,-0.07999999999999996,7.9999999999999964
2,6,2,0.2,0.84,0.84,0.84,-0.16000000000000003,16.000000000000004
3,4,3,0.3,0.76,0.76,0.76,-0.24,24.0
4,0,4,0.4,0.68,0.68,0.68,-0.31999999999999995,31.999999999999996
5,2,5,0.5,0.6,0.6,0.6,-0.4,40.0
6,9,6,0.6,0.52,0.52,0.52,-0.48,48.0
7,3,7,0.7,0.44,0.44,0.44,-0.56,56.00000000000001
8,7,8,0.8,0.36,0.36,0.36,-0.64,64.0
9,8,9,0.9,0.28,0.28,0.28,-0.72,72.0
10,1,10,1.0,0.2,0.2,0.2,-0.8,80.0
