step,newly_dropped_client,total_dropped_clients,active_clients,fraction_dropped,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,8,1,9,0.1,0.9,0.9,0.9,-0.09999999999999998,9.999999999999998
2,0,2,8,0.2,0.8,0.8,0.8,-0.19999999999999996,19.999999999999996
3,3,3,7,0.3,0.7,0.7,0.7,-0.30000000000000004,30.000000000000004
4,5,4,6,0.4,0.6,0.6,0.6,-0.4,40.0
5,6,5,5,0.5,0.5,0.5,0.5,-0.5,50.0
6,1,6,4,0.6,0.4,0.4,0.4,-0.6,60.0
7,2,7,3,0.7,0.3,0.3,0.3,-0.7,70.0
8,4,8,2,0.8,0.2,0.2,0.2,-0.8,80.0
9,9,9,1,0.9,0.1,0.1,0.1,-0.9,90.0
10,7,10,0,1.0,0.0,0.0,0.0,-1.0,100.0
