step,newly_poisoned_client,total_poisoned_clients,fraction_poisoned,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,37,1,0.02,0.99,0.99,0.99,-0.010000000000000009,1.0000000000000009
2,19,2,0.04,0.98,0.98,0.98,-0.020000000000000018,2.0000000000000018
3,15,3,0.06,0.97,0.97,0.97,-0.030000000000000027,3.0000000000000027
4,29,4,0.08,0.96,0.96,0.96,-0.040000000000000036,4.0000000000000036
5,44,5,0.1,0.95,0.95,0.95,-0.050000000000000044,5.000000000000004
6,24,6,0.12,0.94,0.94,0.94,-0.06000000000000005,6.000000000000005
7,26,7,0.14,0.93,0.93,0.93,-0.06999999999999995,6.999999999999995
8,1,8,0.16,0.92,0.92,0.92,-0.07999999999999996,7.9999999999999964
9,35,9,0.18,0.91,0.91,0.91,-0.08999999999999997,8.999999999999996
10,13,10,0.2,0.9,0.9,0.9,-0.09999999999999998,9.999999999999998
11,28,11,0.22,0.89,0.89,0.89,-0.10999999999999999,10.999999999999998
12,38,12,0.24,0.88,0.88,0.88,-0.12,12.0
13,7,13,0.26,0.87,0.87,0.87,-0.13,13.0
14,18,14,0.28,0.86,0.86,0.86,-0.14,14.000000000000002
15,22,15,0.3,0.85,0.85,0.85,-0.15000000000000002,15.000000000000002
16,4,16,0.32,0.84,0.84,0.84,-0.16000000000000003,16.000000000000004
17,11,17,0.34,0.83,0.83,0.83,-0.17000000000000004,17.000000000000004
18,32,18,0.36,0.82,0.82,0.82,-0.18000000000000005,18.000000000000004
19,17,19,0.38,0.81,0.81,0.81,-0.18999999999999995,18.999999999999993
20,49,20,0.4,0.8,0.8,0.8,-0.19999999999999996,19.999999999999996
21,23,21,0.42,0.79,0.79,0.79,-0.20999999999999996,20.999999999999996
22,10,22,0.44,0.78,0.78,0.78,-0.21999999999999997,21.999999999999996
23,21,23,0.46,0.77,0.77,0.77,-0.22999999999999998,23.0
24,48,24,0.48,0.76,0.76,0.76,-0.24,24.0
25,27,25,0.5,0.75,0.75,0.75,-0.25,25.0
26,45,26,0.52,0.74,0.74,0.74,-0.26,26.0
27,40,27,0.54,0.73,0.73,0.73,-0.27,27.0
28,39,28,0.56,0.72,0.72,0.72,-0.28,28.000000000000004
29,0,29,0.58,0.71,0.71,0.71,-0.29000000000000004,29.000000000000004
30,42,30,0.6,0.7,0.7,0.7,-0.30000000000000004,30.000000000000004
31,2,31,0.62,0.69,0.69,0.69,-0.31000000000000005,31.000000000000007
32,33,32,0.64,0.68,0.68,0.68,-0.31999999999999995,31.999999999999996
33,14,33,0.66,0.67,0.67,0.67,-0.32999999999999996,32.99999999999999
34,25,34,0.68,0.66,0.66,0.66,-0.33999999999999997,34.0
35,46,35,0.7,0.65,0.65,0.65,-0.35,35.0
36,3,36,0.72,0.64,0.64,0.64,-0.36,36.0
37,16,37,0.74,0.63,0.63,0.63,-0.37,37.0
38,9,38,0.76,0.62,0.62,0.62,-0.38,38.0
39,12,39,0.78,0.61,0.61,0.61,-0.39,39.0
40,6,40,0.8,0.6,0.6,0.6,-0.4,40.0
41,20,41,0.82,0.59,0.59,0.59,-0.41000000000000003,41.0
42,41,42,0.84,0.58,0.58,0.58,-0.42000000000000004,42.00000000000001
43,8,43,0.86,0.57,0.57,0.57,-0.43000000000000005,43.00000000000001
44,30,44,0.88,0.56,0.56,0.56,-0.43999999999999995,43.99999999999999
45,31,45,0.9,0.55,0.55,0.55,-0.44999999999999996,44.99999999999999
46,34,46,0.92,0.54,0.54,0.54,-0.45999999999999996,46.0
47,47,47,0.94,0.53,0.53,0.53,-0.47,47.0
48,36,48,0.96,0.52,0.52,0.52,-0.48,48.0
49,5,49,0.98,0.51,0.51,0.51,-0.49,49.0
50,43,50,1.0,0.5,0.5,0.5,-0.5,50.0
