step,newly_targeted_client,total_targeted_clients,fraction_targeted,nodes_exposed_no_defense,nodes_exposed_with_defense,exposure_pct_no_defense,exposure_pct_with_defense
1,42,1,0.02,10,10,2.0,2.0
2,37,2,0.04,20,20,4.0,4.0
3,19,3,0.06,30,30,6.0,6.0
4,7,4,0.08,40,40,8.0,8.0
5,40,5,0.1,50,50,10.0,10.0
6,20,6,0.12,60,60,12.0,12.0
7,5,7,0.14,70,70,14.000000000000002,14.000000000000002
8,4,8,0.16,80,80,16.0,16.0
9,15,9,0.18,90,90,18.0,18.0
10,26,10,0.2,100,100,20.0,20.0
11,2,11,0.22,110,110,22.0,22.0
12,41,12,0.24,120,120,24.0,24.0
13,24,13,0.26,130,130,26.0,26.0
14,8,14,0.28,140,140,28.000000000000004,28.000000000000004
15,14,15,0.3,150,150,30.0,30.0
16,31,16,0.32,160,160,32.0,32.0
17,43,17,0.34,170,170,34.0,34.0
18,9,18,0.36,180,180,36.0,36.0
19,27,19,0.38,190,190,38.0,38.0
20,39,20,0.4,200,200,40.0,40.0
21,6,21,0.42,210,210,42.0,42.0
22,21,22,0.44,220,220,44.0,44.0
23,13,23,0.46,230,230,46.0,46.0
24,36,24,0.48,240,240,48.0,48.0
25,46,25,0.5,250,250,50.0,50.0
26,45,26,0.52,260,260,52.0,52.0
27,3,27,0.54,270,270,54.0,54.0
28,25,28,0.56,280,280,56.00000000000001,56.00000000000001
29,33,29,0.58,290,290,57.99999999999999,57.99999999999999
30,23,30,0.6,300,300,60.0,60.0
31,0,31,0.62,310,310,62.0,62.0
32,18,32,0.64,320,320,64.0,64.0
33,28,33,0.66,330,330,66.0,66.0
34,32,34,0.68,340,340,68.0,68.0
35,49,35,0.7,350,350,70.0,70.0
36,16,36,0.72,360,360,72.0,72.0
37,17,37,0.74,370,370,74.0,74.0
38,22,38,0.76,380,380,76.0,76.0
39,47,39,0.78,390,390,78.0,78.0
40,1,40,0.8,400,400,80.0,80.0
41,44,41,0.82,410,410,82.0,82.0
42,29,42,0.84,420,420,84.0,84.0
43,35,43,0.86,430,430,86.0,86.0
44,12,44,0.88,440,440,88.0,88.0
45,11,45,0.9,450,450,90.0,90.0
46,48,46,0.92,460,460,92.0,92.0
47,34,47,0.94,470,470,94.0,94.0
48,38,48,0.96,480,480,96.0,96.0
49,30,49,0.98,490,490,98.0,98.0
50,10,50,1.0,500,500,100.0,100.0
