step,newly_dropped_client,total_dropped_clients,active_clients,fraction_dropped,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,45,1,49,0.02,0.98,0.98,0.98,-0.020000000000000018,2.0000000000000018
2,37,2,48,0.04,0.96,0.96,0.96,-0.040000000000000036,4.0000000000000036
3,25,3,47,0.06,0.94,0.94,0.94,-0.06000000000000005,6.000000000000005
4,5,4,46,0.08,0.92,0.92,0.92,-0.07999999999999996,7.9999999999999964
5,48,5,45,0.1,0.9,0.9,0.9,-0.09999999999999998,9.999999999999998
6,46,6,44,0.12,0.88,0.88,0.88,-0.12,12.0
7,42,7,43,0.14,0.86,0.86,0.86,-0.14,14.000000000000002
8,9,8,42,0.16,0.84,0.84,0.84,-0.16000000000000003,16.000000000000004
9,40,9,41,0.18,0.82,0.82,0.82,-0.18000000000000005,18.000000000000004
10,15,10,40,0.2,0.8,0.8,0.8,-0.19999999999999996,19.999999999999996
11,38,11,39,0.22,0.78,0.78,0.78,-0.21999999999999997,21.999999999999996
12,7,12,38,0.24,0.76,0.76,0.76,-0.24,24.0
13,8,13,37,0.26,0.74,0.74,0.74,-0.26,26.0
14,21,14,36,0.28,0.72,0.72,0.72,-0.28,28.000000000000004
15,47,15,35,0.3,0.7,0.7,0.7,-0.30000000000000004,30.000000000000004
16,14,16,34,0.32,0.68,0.68,0.68,-0.31999999999999995,31.999999999999996
17,39,17,33,0.34,0.66,0.66,0.66,-0.33999999999999997,34.0
18,2,18,32,0.36,0.64,0.64,0.64,-0.36,36.0
19,1,19,31,0.38,0.62,0.62,0.62,-0.38,38.0
20,13,20,30,0.4,0.6,0.6,0.6,-0.4,40.0
21,20,21,29,0.42,0.58,0.58,0.58,-0.42000000000000004,42.00000000000001
22,3,22,28,0.44,0.56,0.56,0.56,-0.43999999999999995,43.99999999999999
23,34,23,27,0.46,0.54,0.54,0.54,-0.45999999999999996,46.0
24,26,24,26,0.48,0.52,0.52,0.52,-0.48,48.0
25,18,25,25,0.5,0.5,0.5,0.5,-0.5,50.0
26,44,26,24,0.52,0.48,0.48,0.48,-0.52,52.0
27,32,27,23,0.54,0.46,0.46,0.46,-0.54,54.0
28,36,28,22,0.56,0.44,0.44,0.44,-0.56,56.00000000000001
29,16,29,21,0.58,0.42,0.42,0.42,-0.5800000000000001,58.00000000000001
30,10,30,20,0.6,0.4,0.4,0.4,-0.6,60.0
31,31,31,19,0.62,0.38,0.38,0.38,-0.62,62.0
32,41,32,18,0.64,0.36,0.36,0.36,-0.64,64.0
33,35,33,17,0.66,0.34,0.34,0.34,-0.6599999999999999,65.99999999999999
34,24,34,16,0.68,0.32,0.32,0.32,-0.6799999999999999,68.0
35,49,35,15,0.7,0.3,0.3,0.3,-0.7,70.0
36,0,36,14,0.72,0.28,0.28,0.28,-0.72,72.0
37,27,37,13,0.74,0.26,0.26,0.26,-0.74,74.0
38,30,38,12,0.76,0.24,0.24,0.24,-0.76,76.0
39,33,39,11,0.78,0.22,0.22,0.22,-0.78,78.0
40,6,40,10,0.8,0.2,0.2,0.2,-0.8,80.0
41,4,41,9,0.82,0.18,0.18,0.18,-0.8200000000000001,82.0
42,43,42,8,0.84,0.16,0.16,0.16,-0.84,84.0
43,22,43,7,0.86,0.14,0.14,0.14,-0.86,86.0
44,12,44,6,0.88,0.12,0.12,0.12,-0.88,88.0
45,23,45,5,0.9,0.1,0.1,0.1,-0.9,90.0
46,11,46,4,0.92,0.08,0.08,0.08,-0.92,92.0
47,17,47,3,0.94,0.06,0.06,0.06,-0.94,94.0
48,19,48,2,0.96,0.04,0.04,0.04,-0.96,96.0
49,28,49,1,0.98,0.02,0.02,0.02,-0.98,98.0
50,29,50,0,1.0,0.0,0.0,0.0,-1.0,100.0
