Attack,Intensity,Clients Affected,Total Clients,Affected Ratio,Baseline EM,Baseline F1,Baseline BLEU,Attacked EM,Attacked F1,Attacked BLEU,Delta F1,Delta EM,Delta BLEU,Defended EM,Defended F1,Defended BLEU,Recovery F1,Defense,KB Exposed % (no defense),KB Exposed % (defended),Availability Before,Availability After,Runtime (s),Notes
Data Poisoning,light,5,50,0.1,1.0,1.0,1.0,0.95,0.95,0.95,-0.05,-0.05,-0.05,0.95,0.95,0.95,0.0,ClientDataPoisoningDefense,,,,,3.0154,"poison_type=wrong_answer; malicious_clients=[2, 16, 24, 26, 48]; total_poisoned_records=25; quarantined=[2, 16, 24, 26, 48]"
Data Poisoning,medium,15,50,0.3,1.0,1.0,1.0,0.85,0.85,0.85,-0.15,-0.15,-0.15,0.85,0.85,0.85,0.0,ClientDataPoisoningDefense,,,,,2.9161,"poison_type=wrong_answer; malicious_clients=[6, 8, 13, 16, 18, 19, 22, 25, 30, 31, 32, 34, 37, 40, 49]; total_poisoned_records=75; quarantined=[6, 8, 13, 16, 18, 19, 22, 25, 30, 31, 32, 34, 37, 40, 49]"
Data Poisoning,heavy,25,50,0.5,1.0,1.0,1.0,0.75,0.75,0.75,-0.25,-0.25,-0.25,0.75,0.75,0.75,0.0,ClientDataPoisoningDefense,,,,,2.7562,"poison_type=wrong_answer; malicious_clients=[0, 2, 3, 4, 6, 9, 13, 16, 17, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 35, 38, 41, 43, 45, 49]; total_poisoned_records=125; quarantined=[0, 2, 3, 4, 6, 9, 13, 16, 17, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 35, 38, 41, 43, 45, 49]"
KB Extraction,light,5,50,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,70.0,,,0.0101,"targeted_clients=[4, 8, 16, 36, 48]; total_attack_queries=266; nodes_exposed_before_defense=50/50 (100.0%); nodes_exposed_after_defense=35/50 (70.0%)"
KB Extraction,medium,15,50,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,70.0,,,0.0323,"targeted_clients=[0, 1, 6, 7, 13, 17, 24, 27, 28, 30, 31, 41, 44, 47, 48]; total_attack_queries=840; nodes_exposed_before_defense=150/150 (100.0%); nodes_exposed_after_defense=105/150 (70.0%)"
KB Extraction,heavy,25,50,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,70.8,,,0.0537,"targeted_clients=[0, 1, 6, 7, 11, 13, 14, 17, 20, 21, 24, 27, 28, 29, 31, 33, 34, 36, 37, 41, 42, 43, 44, 46, 48]; total_attack_queries=1408; nodes_exposed_before_defense=250/250 (100.0%); nodes_exposed_after_defense=177/250 (70.8%)"
Node Availability (node_removal),light,5,50,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.3045,"attack_type=node_removal; affected_nodes=[2, 16, 24, 26, 48]; availability=1.00→0.90"
Node Availability (node_removal),medium,15,50,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.994,"attack_type=node_removal; affected_nodes=[2, 8, 13, 16, 19, 22, 24, 25, 26, 30, 31, 32, 37, 44, 48]; availability=1.00→0.70"
Node Availability (node_removal),heavy,25,50,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.7267,"attack_type=node_removal; affected_nodes=[2, 4, 6, 8, 13, 16, 17, 18, 19, 22, 24, 25, 26, 29, 30, 31, 32, 35, 37, 39, 41, 42, 44, 45, 48]; availability=1.00→0.50"
Node Availability (byzantine),light,5,50,0.1,1.0,1.0,1.0,0.9,0.9666666666666672,0.95,-0.0333,-0.1,-0.05,0.96,0.9866666666666668,0.98,0.02,CrossPeerValidation,,,1.0,1.0,1.4107,"attack_type=byzantine; affected_nodes=[2, 16, 24, 26, 48]; availability=1.00→1.00"
Node Availability (byzantine),medium,15,50,0.3,1.0,1.0,1.0,0.7,0.900000000000002,0.85,-0.1,-0.3,-0.15,0.9,0.9666666666666675,0.95,0.0667,CrossPeerValidation,,,1.0,1.0,1.4405,"attack_type=byzantine; affected_nodes=[2, 8, 13, 16, 19, 22, 24, 25, 26, 30, 31, 32, 37, 44, 48]; availability=1.00→1.00"
Node Availability (byzantine),heavy,25,50,0.5,1.0,1.0,1.0,0.5,0.833333333333336,0.75,-0.1667,-0.5,-0.25,0.84,0.9466666666666679,0.92,0.1133,CrossPeerValidation,,,1.0,1.0,1.4091,"attack_type=byzantine; affected_nodes=[2, 4, 6, 8, 13, 16, 17, 18, 19, 22, 24, 25, 26, 29, 30, 31, 32, 35, 37, 39, 41, 42, 44, 45, 48]; availability=1.00→1.00"
Node Availability (ddos),light,5,50,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.3043,"attack_type=ddos; affected_nodes=[2, 16, 24, 26, 48]; availability=1.00→0.90"
Node Availability (ddos),medium,15,50,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.9902,"attack_type=ddos; affected_nodes=[2, 8, 13, 16, 19, 22, 24, 25, 26, 30, 31, 32, 37, 44, 48]; availability=1.00→0.70"
Node Availability (ddos),heavy,25,50,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.734,"attack_type=ddos; affected_nodes=[2, 4, 6, 8, 13, 16, 17, 18, 19, 22, 24, 25, 26, 29, 30, 31, 32, 35, 37, 39, 41, 42, 44, 45, 48]; availability=1.00→0.50"
