step,newly_targeted_client,total_targeted_clients,fraction_targeted,nodes_exposed_no_defense,nodes_exposed_with_defense,exposure_pct_no_defense,exposure_pct_with_defense
1,1,1,0.05,25,15,5.0,3.0
2,9,2,0.1,50,30,10.0,6.0
3,14,3,0.15,75,45,15.0,9.0
4,6,4,0.2,100,60,20.0,12.0
5,16,5,0.25,125,75,25.0,15.0
6,12,6,0.3,150,90,30.0,18.0
7,4,7,0.35,175,106,35.0,21.2
8,0,8,0.4,200,122,40.0,24.4
9,2,9,0.45,225,137,45.0,27.400000000000002
10,7,10,0.5,250,152,50.0,30.4
11,10,11,0.55,275,167,55.00000000000001,33.4
12,11,12,0.6,300,183,60.0,36.6
13,8,13,0.65,325,198,65.0,39.6
14,3,14,0.7,350,214,70.0,42.8
15,13,15,0.75,375,229,75.0,45.800000000000004
16,19,16,0.8,400,244,80.0,48.8
17,18,17,0.85,425,260,85.0,52.0
18,17,18,0.9,450,275,90.0,55.00000000000001
19,15,19,0.95,475,291,95.0,58.199999999999996
20,5,20,1.0,500,307,100.0,61.4
