Attack,Intensity,Clients Affected,Total Clients,Affected Ratio,Baseline EM,Baseline F1,Baseline BLEU,Attacked EM,Attacked F1,Attacked BLEU,Delta F1,Delta EM,Delta BLEU,Defended EM,Defended F1,Defended BLEU,Recovery F1,Defense,KB Exposed % (no defense),KB Exposed % (defended),Availability Before,Availability After,Runtime (s),Notes
Data Poisoning,light,2,20,0.1,1.0,1.0,1.0,0.952,0.952,0.952,-0.048,-0.048,-0.048,0.952,0.952,0.952,0.0,ClientDataPoisoningDefense,,,,,2.8106,"poison_type=wrong_answer; malicious_clients=[1, 8]; total_poisoned_records=24; quarantined=[]"
Data Poisoning,medium,6,20,0.3,1.0,1.0,1.0,0.856,0.856,0.856,-0.144,-0.144,-0.144,0.856,0.856,0.856,0.0,ClientDataPoisoningDefense,,,,,2.6724,"poison_type=wrong_answer; malicious_clients=[1, 2, 3, 6, 8, 13]; total_poisoned_records=72; quarantined=[]"
Data Poisoning,heavy,10,20,0.5,1.0,1.0,1.0,0.76,0.76,0.76,-0.24,-0.24,-0.24,0.76,0.76,0.76,0.0,ClientDataPoisoningDefense,,,,,2.5794,"poison_type=wrong_answer; malicious_clients=[1, 2, 5, 8, 10, 12, 14, 17, 18, 19]; total_poisoned_records=120; quarantined=[]"
KB Extraction,light,2,20,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,28.0,,,0.0159,"targeted_clients=[8, 17]; total_attack_queries=194; nodes_exposed_before_defense=50/50 (100.0%); nodes_exposed_after_defense=14/50 (28.0%)"
KB Extraction,medium,6,20,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,29.33,,,0.0452,"targeted_clients=[0, 1, 5, 8, 12, 13]; total_attack_queries=558; nodes_exposed_before_defense=150/150 (100.0%); nodes_exposed_after_defense=44/150 (29.3%)"
KB Extraction,heavy,10,20,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,28.8,,,0.0727,"targeted_clients=[0, 1, 4, 5, 6, 8, 10, 11, 12, 13]; total_attack_queries=910; nodes_exposed_before_defense=250/250 (100.0%); nodes_exposed_after_defense=72/250 (28.8%)"
Node Availability (node_removal),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.2496,"attack_type=node_removal; affected_nodes=[1, 8]; availability=1.00→0.90"
Node Availability (node_removal),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.9769,"attack_type=node_removal; affected_nodes=[1, 2, 8, 13, 18, 19]; availability=1.00→0.70"
Node Availability (node_removal),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.702,"attack_type=node_removal; affected_nodes=[0, 1, 2, 6, 8, 13, 15, 16, 18, 19]; availability=1.00→0.50"
Node Availability (byzantine),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9666666666666677,0.95,-0.0333,-0.1,-0.05,0.95,0.9833333333333338,0.975,0.0167,CrossPeerValidation,,,1.0,1.0,1.3887,"attack_type=byzantine; affected_nodes=[1, 8]; availability=1.00→1.00"
Node Availability (byzantine),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.900000000000002,0.85,-0.1,-0.3,-0.15,0.9,0.9666666666666672,0.95,0.0667,CrossPeerValidation,,,1.0,1.0,1.3901,"attack_type=byzantine; affected_nodes=[1, 2, 8, 13, 18, 19]; availability=1.00→1.00"
Node Availability (byzantine),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.8333333333333359,0.75,-0.1667,-0.5,-0.25,0.85,0.950000000000001,0.925,0.1167,CrossPeerValidation,,,1.0,1.0,1.3854,"attack_type=byzantine; affected_nodes=[0, 1, 2, 6, 8, 13, 15, 16, 18, 19]; availability=1.00→1.00"
Node Availability (ddos),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.2486,"attack_type=ddos; affected_nodes=[1, 8]; availability=1.00→0.90"
Node Availability (ddos),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.9698,"attack_type=ddos; affected_nodes=[1, 2, 8, 13, 18, 19]; availability=1.00→0.70"
Node Availability (ddos),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.6979,"attack_type=ddos; affected_nodes=[0, 1, 2, 6, 8, 13, 15, 16, 18, 19]; availability=1.00→0.50"
