step,newly_poisoned_client,total_poisoned_clients,fraction_poisoned,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,18,1,0.05,0.976,0.976,0.976,-0.02400000000000002,2.400000000000002
2,2,2,0.1,0.952,0.952,0.952,-0.04800000000000004,4.800000000000004
3,15,3,0.15,0.928,0.928,0.928,-0.07199999999999995,7.199999999999996
4,4,4,0.2,0.904,0.904,0.904,-0.09599999999999997,9.599999999999998
5,7,5,0.25,0.88,0.88,0.88,-0.12,12.0
6,10,6,0.3,0.856,0.856,0.856,-0.14400000000000002,14.400000000000002
7,9,7,0.35,0.832,0.832,0.832,-0.16800000000000004,16.800000000000004
8,11,8,0.4,0.808,0.808,0.808,-0.19199999999999995,19.199999999999996
9,8,9,0.45,0.784,0.784,0.784,-0.21599999999999997,21.599999999999998
10,6,10,0.5,0.76,0.76,0.76,-0.24,24.0
11,13,11,0.55,0.736,0.736,0.736,-0.264,26.400000000000002
12,17,12,0.6,0.712,0.712,0.712,-0.28800000000000003,28.800000000000004
13,1,13,0.65,0.688,0.688,0.688,-0.31200000000000006,31.200000000000006
14,16,14,0.7,0.664,0.664,0.664,-0.33599999999999997,33.599999999999994
15,3,15,0.75,0.64,0.64,0.64,-0.36,36.0
16,0,16,0.8,0.616,0.616,0.616,-0.384,38.4
17,12,17,0.85,0.592,0.592,0.592,-0.40800000000000003,40.800000000000004
18,19,18,0.9,0.568,0.568,0.568,-0.43200000000000005,43.2
19,5,19,0.95,0.544,0.544,0.544,-0.45599999999999996,45.599999999999994
20,14,20,1.0,0.52,0.52,0.52,-0.48,48.0
