poisoning_ratio,global_baseline_f1,global_attacked_f1,global_delta_f1,c0_clean_baseline_f1,c0_clean_attacked_f1,c0_clean_delta_f1,c1_MAL_baseline_f1,c1_MAL_attacked_f1,c1_MAL_delta_f1,c2_clean_baseline_f1,c2_clean_attacked_f1,c2_clean_delta_f1,c3_clean_baseline_f1,c3_clean_attacked_f1,c3_clean_delta_f1,c4_MAL_baseline_f1,c4_MAL_attacked_f1,c4_MAL_delta_f1,c5_MAL_baseline_f1,c5_MAL_attacked_f1,c5_MAL_delta_f1,c6_MAL_baseline_f1,c6_MAL_attacked_f1,c6_MAL_delta_f1,c7_MAL_baseline_f1,c7_MAL_attacked_f1,c7_MAL_delta_f1,c8_MAL_baseline_f1,c8_MAL_attacked_f1,c8_MAL_delta_f1,c9_clean_baseline_f1,c9_clean_attacked_f1,c9_clean_delta_f1,c10_clean_baseline_f1,c10_clean_attacked_f1,c10_clean_delta_f1,c11_clean_baseline_f1,c11_clean_attacked_f1,c11_clean_delta_f1,c12_MAL_baseline_f1,c12_MAL_attacked_f1,c12_MAL_delta_f1,c13_MAL_baseline_f1,c13_MAL_attacked_f1,c13_MAL_delta_f1,c14_clean_baseline_f1,c14_clean_attacked_f1,c14_clean_delta_f1,c15_MAL_baseline_f1,c15_MAL_attacked_f1,c15_MAL_delta_f1,c16_clean_baseline_f1,c16_clean_attacked_f1,c16_clean_delta_f1,c17_clean_baseline_f1,c17_clean_attacked_f1,c17_clean_delta_f1,c18_clean_baseline_f1,c18_clean_attacked_f1,c18_clean_delta_f1,c19_MAL_baseline_f1,c19_MAL_attacked_f1,c19_MAL_delta_f1,global_defended_f1,global_recovery_f1,c0_clean_defended_f1,c1_MAL_defended_f1,c2_clean_defended_f1,c3_clean_defended_f1,c4_MAL_defended_f1,c5_MAL_defended_f1,c6_MAL_defended_f1,c7_MAL_defended_f1,c8_MAL_defended_f1,c9_clean_defended_f1,c10_clean_defended_f1,c11_clean_defended_f1,c12_MAL_defended_f1,c13_MAL_defended_f1,c14_clean_defended_f1,c15_MAL_defended_f1,c16_clean_defended_f1,c17_clean_defended_f1,c18_clean_defended_f1,c19_MAL_defended_f1
0.0,1.0,1.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,
0.1,1.0,0.96,-0.04,0.05,0.05,0.0,0.05,0.046,-0.004,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.046,-0.004,0.05,0.046,-0.004,0.05,0.046,-0.004,0.05,0.046,-0.004,0.05,0.046,-0.004,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.046,-0.004,0.05,0.046,-0.004,0.05,0.05,0.0,0.05,0.046,-0.004,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.046,-0.004,0.96,0.0,0.05,0.046,0.05,0.05,0.046,0.046,0.046,0.046,0.046,0.05,0.05,0.05,0.046,0.046,0.05,0.046,0.05,0.05,0.05,0.046
0.2,1.0,0.9,-0.1,0.05,0.05,0.0,0.05,0.04,-0.01,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.04,-0.01,0.05,0.04,-0.01,0.05,0.04,-0.01,0.05,0.04,-0.01,0.05,0.04,-0.01,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.04,-0.01,0.05,0.04,-0.01,0.05,0.05,0.0,0.05,0.04,-0.01,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.04,-0.01,0.9,0.0,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04
0.3,1.0,0.86,-0.14,0.05,0.05,0.0,0.05,0.036,-0.014,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.036,-0.014,0.05,0.036,-0.014,0.05,0.036,-0.014,0.05,0.036,-0.014,0.05,0.036,-0.014,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.036,-0.014,0.05,0.036,-0.014,0.05,0.05,0.0,0.05,0.036,-0.014,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.036,-0.014,0.5,-0.36,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.4,1.0,0.8,-0.2,0.05,0.05,0.0,0.05,0.03,-0.02,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.03,-0.02,0.05,0.03,-0.02,0.05,0.03,-0.02,0.05,0.03,-0.02,0.05,0.03,-0.02,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.03,-0.02,0.05,0.03,-0.02,0.05,0.05,0.0,0.05,0.03,-0.02,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.03,-0.02,0.5,-0.3,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.5,1.0,0.76,-0.24,0.05,0.05,0.0,0.05,0.026,-0.024,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.026,-0.024,0.05,0.026,-0.024,0.05,0.026,-0.024,0.05,0.026,-0.024,0.05,0.026,-0.024,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.026,-0.024,0.05,0.026,-0.024,0.05,0.05,0.0,0.05,0.026,-0.024,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.026,-0.024,0.5,-0.26,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.6,1.0,0.7,-0.3,0.05,0.05,0.0,0.05,0.02,-0.03,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.02,-0.03,0.05,0.02,-0.03,0.05,0.02,-0.03,0.05,0.02,-0.03,0.05,0.02,-0.03,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.02,-0.03,0.05,0.02,-0.03,0.05,0.05,0.0,0.05,0.02,-0.03,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.02,-0.03,0.5,-0.2,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.7,1.0,0.66,-0.34,0.05,0.05,0.0,0.05,0.016,-0.034,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.016,-0.034,0.05,0.016,-0.034,0.05,0.016,-0.034,0.05,0.016,-0.034,0.05,0.016,-0.034,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.016,-0.034,0.05,0.016,-0.034,0.05,0.05,0.0,0.05,0.016,-0.034,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.016,-0.034,0.5,-0.16,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.8,1.0,0.6,-0.4,0.05,0.05,0.0,0.05,0.01,-0.04,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.01,-0.04,0.05,0.01,-0.04,0.05,0.01,-0.04,0.05,0.01,-0.04,0.05,0.01,-0.04,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.01,-0.04,0.05,0.01,-0.04,0.05,0.05,0.0,0.05,0.01,-0.04,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.01,-0.04,0.5,-0.1,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
0.9,1.0,0.56,-0.44,0.05,0.05,0.0,0.05,0.006,-0.044,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.006,-0.044,0.05,0.006,-0.044,0.05,0.006,-0.044,0.05,0.006,-0.044,0.05,0.006,-0.044,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.006,-0.044,0.05,0.006,-0.044,0.05,0.05,0.0,0.05,0.006,-0.044,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.006,-0.044,0.5,-0.06,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0
